#complex, groundtruth
(x&y)*(x|y)+(x&~y)*(~x&y),x*y
(x&y)*(x|y)+(x&~y)*(~x&y)-6*~(x&y)+1*(x|~y)+5*~(x|y)+13*~(x|~y)-1*(x&y),x*y+7*(x^y)-12*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+11*y-11*~(x^y)+2*(x^y)-13*~(x|~y)-2*(x&~y),x*y-11*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+2*y-5*(x|y)+6*~(x|~y)+8*(x&~y)+3*(x&y),x*y-3*~(x|y)+3*~(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+3*(x|y)+5*~(x&y)+2*~y-8*~(x|~y)-10*(x&~y),x*y+3*(x&y)+7*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+7*(x|~y)-3*~y+3*y-3*~(x|~y)-4*(x&~y),x*y+4*~(x|y)+10*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+4*y-5*~x+2*x+1*~(x|~y)-6*(x&y),x*y+2*(x&~y)-5*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+7*(x|y)-2*(x|~y)+2*~(x|y)-7*~(x|~y)-3*(x&~y),x*y+2*x+3*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*x-5*~y+5*~(x&y)+1*~(x|~y)+7*(x&y),x*y+6*(x|y)-7*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-5*~y+11*~x-4*~(x|y)-9*~(x|~y)+7*(x&~y),x*y+2*~(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*~(x&y)+1*y-2*~(x&~y)+2*~(x|~y)+1*(x&y),x*y-1*(x&~y)-3*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)-2*~x-7*(x|~y)+5*~(x|y)+2*~(x|~y)+3*(x&y),x*y-4*~(x^y)-7*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-7*~x-5*y-1*~(x&~y)+8*~(x|y)+13*~(x|~y),x*y-6*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+11*~(x&~y)+2*~(x&~x)-13*~(x|y)-14*~(x|~y)-3*(x&~y),x*y+14*(x&y)-1*(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)-6*~(x&~x)+4*~x+7*~(x|y)+7*~(x|~y)+11*(x&~y),x*y+5*~(x&y)-6*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+3*(x^y)-7*(x|y)+3*~(x|y)+7*~(x|~y)+4*(x&~y),x*y+3*~(x&~y)-10*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+4*~y-2*y-7*~(x|y)-1*~(x|~y)-4*(x&~y),x*y-3*~(x&~y)+1*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*~(x&~y)+1*(x|~y)-1*~(x^y)+1*~(x|y)+1*(x&y),x*y+1*(x&~y)-1*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-2*~(x&~x)+2*~(x&y)-4*~(x|y)+7*~(x|~y)+13*(x&y),x*y+11*y-4*~x
(x&y)*(x|y)+(x&~y)*(~x&y)-2*~x-11*~(x&~y)+1*~y+12*~(x|y)-1*(x&~y),x*y-11*(x&y)-13*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*~(x&~x)-6*x+1*~(x|y)+13*(x&~y)+13*(x&y),x*y-7*~(x|~y)+6*(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+11*(x|~y)+3*~(x&~x)+5*~(x&y)-19*(x&~y)-14*(x&y),x*y+19*~(x|y)+8*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-7*~y+1*~(x&~y)+2*~(x|~y)+10*(x&~y)-1*(x&y),x*y-6*~(x|y)+3*(x^y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*~(x&~y)-2*~y-4*~(x|y)-3*(x&~y)-6*(x&y),x*y-5*(x|~y)+1*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+7*~x-7*~(x&~x)+1*~(x|~y)+7*(x&~y)+8*(x&y),x*y+1*y
(x&y)*(x|y)+(x&~y)*(~x&y)-5*~(x&~y)-5*~y+11*~(x|y)+5*~(x|~y)+6*(x&y),x*y+1*~(x^y)-5*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-2*(x|~y)+2*~(x^y)+4*(x|y)-4*~(x|~y)-4*(x&y),x*y+2*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+7*~(x&y)-6*~(x|y)-6*~(x|~y)-7*(x&~y)+3*(x&y),x*y-2*~x+3*~(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*x-5*~(x^y)-1*~(x|~y)-2*(x&~y)+3*(x&y),x*y-4*~(x|y)-1*~(x&~x)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*(x|~y)+1*~(x&~x)-7*~(x|y)-6*~(x|~y)-2*(x&y),x*y+7*(x&~y)-5*~(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+11*~x+2*y-18*~(x|~y)-5*(x&~y)-2*(x&y),x*y-5*~(x&y)+16*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*~(x^y)+5*x+6*~(x|y)+5*~(x|~y)-4*(x&y),x*y+5*(x&~y)+5*~x
(x&y)*(x|y)+(x&~y)*(~x&y)+1*(x|y)+5*(x^y)+2*~(x&~x)-8*(x&~y)-3*(x&y),x*y+2*~(x|y)+8*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-11*~(x&~x)+1*x+11*~(x|y)+11*(x&~y)+11*(x&y),x*y-12*~(x|~y)+1*(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)-7*~(x&~x)-11*(x^y)-11*~(x&y)+29*~(x|~y)+29*(x&~y),x*y-7*(x&y)-18*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*x-1*~(x^y)-6*~(x|y)-7*~(x|~y)-8*(x&~y),x*y-7*~(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-6*~(x&y)-6*~(x&~y)+12*~(x|y)+12*~(x|~y)+7*(x&~y),x*y+1*x-7*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*~x+1*y-7*~y+8*~(x|y)+7*(x&~y),x*y+1*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*(x^y)-10*~(x|y)-4*~(x|~y)-1*(x&~y)-7*(x&y),x*y-7*~(x^y)-3*~x
(x&y)*(x|y)+(x&~y)*(~x&y)-7*~(x&y)-1*~x+5*~(x|y)+8*~(x|~y)+4*(x&~y),x*y-3*~y
(x&y)*(x|y)+(x&~y)*(~x&y)-11*(x|y)-2*~(x|y)+14*~(x|~y)+16*(x&~y)+11*(x&y),x*y-2*~x+5*(x^y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*(x|~y)+2*y-1*~y-2*~(x&~x)+4*~(x|y),x*y-1*(x&y)-4*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+11*(x|y)-4*~(x|y)-13*~(x|~y)-13*(x&~y)-11*(x&y),x*y-2*~y-2*~x
(x&y)*(x|y)+(x&~y)*(~x&y)+11*~(x^y)-16*~(x|y)-3*~(x|~y)+2*(x&~y)-16*(x&y),x*y-5*~(x&~y)+2*(x^y)
(x&y)*(x|y)+(x&~y)*(~x&y)-3*x+3*(x|~y)+7*(x^y)-3*~(x|y)-7*~(x|~y),x*y+7*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+7*~(x&y)-7*~x+4*(x|y)-4*~(x|~y)-4*(x&y),x*y+11*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+3*~(x&y)+2*(x|y)-1*~y-5*~(x|~y)-2*(x&~y),x*y+2*(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-11*~(x&~x)+7*x+5*~(x&~y)+4*(x&~y)-1*(x&y),x*y-6*~(x|~y)-6*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+3*~(x^y)-2*~(x&~x)-1*~(x&y)-4*~(x|~y)-4*(x&~y),x*y-7*(x^y)+1*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-11*(x|~y)+1*~(x&~y)+4*~(x|~y)+11*(x&~y)+15*(x&y),x*y-10*~(x|y)+5*y
(x&y)*(x|y)+(x&~y)*(~x&y)+2*~y+2*~(x&~y)+7*~(x&y)+2*(x&~y)+9*(x&y),x*y+11*(x|~y)+9*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-3*~x+1*(x^y)+1*~(x|y)+2*~(x|~y)-2*(x&y),x*y+1*(x&~y)-2*~(x^y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*(x|y)-1*~(x^y)-1*~(x|y)+1*~(x|~y)+2*(x&y),x*y+1*(x&~y)-2*~y
(x&y)*(x|y)+(x&~y)*(~x&y)+2*(x|y)+4*(x|~y)+5*~(x&~x)-9*~(x|y)-11*(x&y),x*y+11*(x&~y)+7*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-7*y-2*(x^y)+9*~(x|~y)+3*(x&~y)+7*(x&y),x*y-1*~(x&~y)+1*~(x&~x)
(x&y)*(x|y)+(x&~y)*(~x&y)+3*~(x&~x)+7*~(x&y)+3*~(x&~y)-13*~(x|~y)-6*(x&y),x*y+13*~(x|y)+10*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+7*~x+4*y-11*~y+4*~(x|y)-15*(x&y),x*y-11*(x|y)+22*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-7*~x-6*~(x&~x)+13*~(x|y)+16*~(x|~y)+9*(x&y),x*y+3*(x|y)-9*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*~(x&~x)-11*~y+12*~(x|y)+12*(x&~y)-1*(x&y),x*y-1*~(x|~y)+2*~(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*~y-3*~(x&y)-3*(x^y)+4*~(x|y)+6*~(x|~y),x*y-7*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*(x|~y)-5*~(x&y)+3*~(x|~y)+2*(x&~y)-1*(x&y),x*y-2*(x^y)-4*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+4*(x^y)+1*(x|y)+1*~(x|y)-5*~(x|~y)-5*(x&~y),x*y+1*~(x^y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*~(x^y)+7*y+2*~(x|y)-4*~(x|~y)-2*(x&y),x*y+6*~(x&~y)-3*~x
(x&y)*(x|y)+(x&~y)*(~x&y)+7*(x^y)-6*~(x^y)-5*~(x|y)-18*~(x|~y)-7*(x&~y),x*y-6*(x&y)-11*~x
(x&y)*(x|y)+(x&~y)*(~x&y)+1*(x|y)+3*(x|~y)-6*~(x|~y)-9*(x&~y)-4*(x&y),x*y+8*~(x|y)-5*~(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*(x|~y)+4*x-5*~x+6*~(x|y)-3*(x&y),x*y+3*(x&~y)-5*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-5*x+7*~x-5*~(x|y)-5*~(x|~y)+7*(x&y),x*y-5*(x&~y)+2*~(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-3*(x|y)+1*~y-6*(x|~y)+5*~(x|y)+9*(x&y),x*y-3*~(x|~y)-8*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-2*(x^y)-11*(x|y)-3*~(x|y)+10*(x&~y)+8*(x&y),x*y-10*~(x|~y)-3*~(x&~x)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*~x-6*~(x^y)+2*~(x|y)-1*~(x|~y)-3*(x&~y),x*y-6*(x&y)-3*~y
(x&y)*(x|y)+(x&~y)*(~x&y)+2*~y+1*(x|~y)+1*x-4*(x&~y)-2*(x&y),x*y+3*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+7*~y+4*~(x&y)+11*~(x&~x)-22*~(x|y)-11*(x&y),x*y+15*~(x|~y)+22*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-11*~x-1*(x|y)-6*x+7*(x&~y)-4*(x&y),x*y-11*~(x^y)-12*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+2*~x+5*x+1*~(x&y)-6*(x&~y)-5*(x&y),x*y+3*~(x|y)+3*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-11*(x|y)+1*(x|~y)-1*~(x|y)+10*~(x|~y)+9*(x&~y),x*y-10*(x&y)-1*(x^y)
(x&y)*(x|y)+(x&~y)*(~x&y)-7*(x^y)-1*(x|~y)+1*(x|y)+1*~(x|y)+6*~(x|~y),x*y-7*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*~(x&y)+11*~x-7*(x^y)-5*~(x|~y)+6*(x&~y),x*y+12*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*y-4*~(x|y)+1*~(x|~y)-3*(x&~y)-3*(x&y),x*y-1*~(x^y)-3*(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-2*(x|y)+3*~(x&~x)-2*y+1*~(x|~y)+1*(x&y),x*y+3*~(x|y)+1*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+11*y+5*~x-2*~(x&~y)-3*~(x|y)-9*(x&y),x*y+14*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+2*~(x&~x)+4*~x+2*x-6*~(x|y)-4*(x&~y),x*y+6*~(x|~y)+4*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-6*~x-3*x-5*~(x|y)+3*(x&~y)-8*(x&y),x*y-11*~(x^y)-6*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+3*~y-1*(x^y)-3*~(x|y)+1*~(x|~y)-3*(x&~y),x*y+1*(x&y)-1*x
(x&y)*(x|y)+(x&~y)*(~x&y)+1*~x-6*~y-1*~(x&~y)+6*~(x|y)-1*~(x|~y),x*y-5*(x&~y)-1*(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*~(x^y)+7*~x-6*~(x|~y)+1*(x&~y)+1*(x&y),x*y+1*(x^y)+6*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*~(x^y)-11*~x+11*~(x|y)+1*(x&~y)-1*(x&y),x*y-12*~(x|~y)+1*~(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-2*x+5*(x^y)-3*~(x&~y)-2*~(x|y)-8*(x&~y),x*y+7*~(x|~y)-5*~(x&~x)
(x&y)*(x|y)+(x&~y)*(~x&y)+4*~x+1*~y+1*(x^y)-5*~(x|y)-5*~(x|~y),x*y+2*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*y-1*~(x&~x)-11*(x|y)+1*~(x|y)+12*(x&~y),x*y-13*(x&y)-13*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+2*~(x^y)-11*~(x&~y)+6*~(x|y)+11*~(x|~y)-3*(x&~y),x*y-9*(x&y)-3*~y
(x&y)*(x|y)+(x&~y)*(~x&y)+7*(x^y)-11*y+4*~(x|~y)-12*(x&~y)+6*(x&y),x*y+5*~(x|y)-5*(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*(x|~y)-7*x+2*~(x|y)+9*(x&~y)+6*(x&y),x*y+3*~(x&y)-3*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-6*~x-3*~(x&~x)+7*(x^y)+2*~(x|~y)+3*(x&y),x*y+4*(x&~y)-9*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*y+5*(x|y)-1*~(x&~y)-5*(x&~y)-3*(x&y),x*y+3*~(x|~y)-1*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)-2*y+5*~(x&y)-2*~(x^y)-3*~(x|~y)-5*(x&~y),x*y-4*(x&y)+3*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+2*y+3*(x|~y)+1*~(x|y)-3*(x&~y)-1*(x&y),x*y+2*~(x^y)+2*~(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-6*~(x&~x)+1*~(x&y)+5*~(x|y)+1*(x&~y)+2*(x&y),x*y-4*(x|y)-1*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-2*(x^y)-3*(x|~y)-3*~(x|~y)+5*(x&~y)-5*(x&y),x*y-3*~(x^y)-5*y
(x&y)*(x|y)+(x&~y)*(~x&y)+4*(x^y)-1*~(x^y)+1*x-4*~(x|~y)-6*(x&~y),x*y-1*~y
(x&y)*(x|y)+(x&~y)*(~x&y)-2*~(x&~y)-1*~(x^y)+3*~(x|y)+1*~(x|~y)+2*(x&y),x*y-1*(x|y)+1*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-2*x+11*(x|~y)-3*(x^y)-6*(x&~y)-9*(x&y),x*y+11*~(x|y)-3*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-2*~(x&~y)+2*(x|~y)+2*~(x|~y)-9*(x&~y)-7*(x&y),x*y-7*x
(x&y)*(x|y)+(x&~y)*(~x&y)+7*~x-11*x-1*~(x|~y)+11*(x&~y)+17*(x&y),x*y+1*~(x|y)+6*~(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*(x|~y)+1*~(x&~x)+5*~y-1*~(x|~y)-5*(x&~y),x*y+5*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*(x|~y)-11*~(x^y)+10*~(x|y)-5*~(x|~y)-6*(x&~y),x*y-5*(x^y)-10*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+3*(x|y)+1*~(x&~y)+6*~(x|y)-4*~(x|~y)-3*(x&~y),x*y-3*(x&y)+7*~(x^y)
(x&y)*(x|y)+(x&~y)*(~x&y)-6*(x|~y)-2*x+1*~(x|~y)+9*(x&~y)+8*(x&y),x*y-7*~(x|y)+1*~(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-6*~(x&y)+3*~(x&~y)-1*~x+4*~(x|y)+2*(x&~y),x*y+3*(x&y)-4*(x^y)
(x&y)*(x|y)+(x&~y)*(~x&y)+5*~(x&y)-1*y-2*~(x|y)-4*~(x|~y)+1*(x&y),x*y+3*~y+2*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-5*y+3*~(x^y)-4*~(x|y)-1*(x&~y)+2*(x&y),x*y-1*~(x&y)-4*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+11*(x|y)-1*~(x&y)+8*~(x|y)-3*(x&~y)-4*(x&y),x*y+3*~(x|~y)+7*~(x&~x)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*x-6*~y-11*~(x&~x)+17*~(x|y)+12*(x&y),x*y-11*~(x|~y)-18*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-3*x-1*~(x|y)-2*~(x|~y)+4*(x&~y)+2*(x&y),x*y-2*~(x&~y)+1*(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+2*~(x&y)-7*x-5*~(x|y)-2*~(x|~y)+2*(x&~y),x*y-3*~y-7*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+4*y-5*~(x&~y)-3*(x|~y)+3*(x&~y)+4*(x&y),x*y-8*~(x|y)-1*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+7*x-5*(x|y)+3*~(x|~y)-2*(x&~y)-4*(x&y),x*y+2*~(x|y)-2*~(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+4*~(x^y)-5*(x^y)-1*~(x|y)+8*~(x|~y)+8*(x&~y),x*y+3*~(x&y)+4*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-5*(x|~y)+2*~(x&y)-7*(x|y)+10*(x&~y)+12*(x&y),x*y-5*~(x|~y)-3*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*~(x&y)-6*~(x^y)+1*~x+5*~(x|y)-1*~(x|~y),x*y-7*(x&y)+1*~(x&~x)
(x&y)*(x|y)+(x&~y)*(~x&y)-5*(x|~y)-2*(x|y)+5*~(x&y)+2*(x&~y)+7*(x&y),x*y+3*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-6*~(x&~x)-7*~(x&~y)+9*~(x|y)+13*~(x|~y)+9*(x&y),x*y-6*(x&~y)-4*~(x^y)
(x&y)*(x|y)+(x&~y)*(~x&y)-11*(x|~y)-3*~y+2*x+14*~(x|y)+12*(x&~y),x*y-9*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+4*(x^y)-2*x-1*~(x|y)-3*(x&~y)+1*(x&y),x*y+5*~(x|~y)-1*~(x&~x)
(x&y)*(x|y)+(x&~y)*(~x&y)+2*(x^y)+1*~(x^y)+4*~(x&~y)-5*~(x|y)-6*~(x|~y),x*y+5*(x&y)+2*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+4*~(x&~x)-5*(x|~y)+1*~(x|y)+3*(x&~y)+3*(x&y),x*y+2*x+4*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-3*~(x^y)+1*~(x&~x)-6*~y+5*(x&~y)+2*(x&y),x*y-8*~(x|y)+1*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*~y-7*~(x|y)-2*~(x|~y)-1*(x&~y)-6*(x&y),x*y-4*~(x^y)-2*~(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+3*~(x^y)-3*~x+1*~(x|y)+1*(x&~y)-2*(x&y),x*y+1*~(x&~x)-4*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+7*x+3*~(x^y)-7*~(x|y)-11*(x&~y)-14*(x&y),x*y-4*(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-6*~(x&~x)+1*~x-6*~(x|y)+5*~(x|~y)+6*(x&~y),x*y-11*~(x^y)+5*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+11*y+7*~(x&~x)-7*~(x|y)-18*~(x|~y)-9*(x&~y),x*y-2*x+20*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*~x-7*(x|y)+3*~(x|y)+9*(x&~y)+7*(x&y),x*y-10*~(x|~y)+2*~(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+2*(x|~y)-7*(x^y)-4*~(x|y)+3*(x&~y)-4*(x&y),x*y-2*~(x&~x)-5*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*x-5*(x|~y)+1*~y+4*~(x|y)+6*(x&y),x*y-5*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+11*(x^y)+5*~(x&~y)-1*y-5*~(x|y)-4*(x&y),x*y+11*(x&~y)+15*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*(x|y)-6*~y+6*~(x|y)+1*~(x|~y)+6*(x&~y),x*y-1*x
(x&y)*(x|y)+(x&~y)*(~x&y)-3*~(x^y)-1*~(x&~x)+2*(x|~y)+2*~(x|y)+1*~(x|~y),x*y-3*(x&y)+1*x
(x&y)*(x|y)+(x&~y)*(~x&y)+3*(x^y)+4*(x|~y)+7*~(x|y)+8*~(x|~y)-7*(x&~y),x*y+11*~(x&~y)-7*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+11*~(x&y)+7*x-2*~(x|y)-9*~(x|~y)-18*(x&~y),x*y+7*~(x^y)+2*~x
(x&y)*(x|y)+(x&~y)*(~x&y)+7*~(x&~y)-11*~(x&y)+3*~(x|y)+10*(x&~y)-8*(x&y),x*y-1*(x|~y)-4*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+3*~(x&~y)-2*(x|~y)+2*~(x|y)+5*(x&~y)-1*(x&y),x*y+3*~y+3*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*~(x&~y)+1*y+2*~y-2*(x^y)-3*~(x|y),x*y+2*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+5*~(x^y)-5*~(x&~y)-1*x+7*(x&~y)+1*(x&y),x*y-11*~(x|~y)+6*(x^y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*x-11*(x^y)+3*(x|~y)-3*~(x|y)-4*(x&y),x*y-7*(x&~y)-11*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-5*y+3*~(x&~y)-4*~(x|y)+1*~(x|~y)+2*(x&y),x*y-1*~x
(x&y)*(x|y)+(x&~y)*(~x&y)+2*~(x&~x)-3*~x-4*~(x|y)-7*(x&~y)-2*(x&y),x*y-1*~(x|~y)-5*~y
(x&y)*(x|y)+(x&~y)*(~x&y)-7*~y+12*~(x|y)-6*~(x|~y)-4*(x&~y)+5*(x&y),x*y+5*~(x&~y)-11*(x^y)
(x&y)*(x|y)+(x&~y)*(~x&y)+2*~(x&~y)-3*~(x^y)+1*~(x|y)+1*~(x|~y)+4*(x&y),x*y+3*(x|y)-3*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*~(x&~y)+7*x+1*~(x|y)-8*(x&~y)-7*(x&y),x*y-1*(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)-6*~y+1*x+5*~(x^y)+1*~(x|y)-6*(x&y),x*y-5*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+5*~(x&~x)+2*~x-7*~(x|~y)-6*(x&~y)-6*(x&y),x*y-1*(x|~y)+8*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)-2*y-2*~(x&y)-11*(x^y)+15*~(x|~y)+2*(x&y),x*y-2*~(x|y)-13*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-11*y-2*~(x^y)+2*~(x|y)-1*(x&~y)+13*(x&y),x*y-10*~(x|~y)-1*(x^y)
(x&y)*(x|y)+(x&~y)*(~x&y)-5*(x^y)-2*~(x|y)-2*~(x|~y)+5*(x&~y)+5*(x&y),x*y-7*~x+5*~(x^y)
(x&y)*(x|y)+(x&~y)*(~x&y)+5*~(x&y)+7*~(x^y)-12*~(x|y)-5*~(x|~y)-7*(x&~y),x*y-2*x+9*(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+4*~(x&y)+11*(x|~y)-15*~(x|y)-16*(x&~y)-12*(x&y),x*y-1*(x|y)+5*~(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)-1*x-2*~(x^y)-1*(x|~y)+7*(x&~y)+4*(x&y),x*y-8*~(x|y)+5*~y
(x&y)*(x|y)+(x&~y)*(~x&y)+2*~(x&~x)-1*~(x&y)+1*~(x|~y)+1*(x&~y)-2*(x&y),x*y+2*(x^y)+1*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)-11*~(x&~x)+1*~(x&y)+5*~(x|y)+5*(x&~y)+6*(x&y),x*y-10*~(x|~y)-5*(x|~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+3*~(x&~x)-1*y+11*(x^y)-14*(x&~y)-2*(x&y),x*y+13*~(x|~y)+3*~(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)+1*y+11*~(x&~x)-4*~(x|y)-4*(x&~y)-12*(x&y),x*y+5*~(x|~y)+7*~(x&y)
(x&y)*(x|y)+(x&~y)*(~x&y)+4*~(x&y)-4*~(x|y)+3*~(x|~y)+10*(x&~y)+14*(x&y),x*y+7*x+7*(x|y)
(x&y)*(x|y)+(x&~y)*(~x&y)-5*~x+1*~(x^y)+4*~(x|y)+6*~(x|~y)-1*(x&y),x*y+1*(x^y)-1*(x&~y)
(x&y)*(x|y)+(x&~y)*(~x&y)+2*~(x^y)-4*~(x|y)-3*~(x|~y)-3*(x&~y)-3*(x&y),x*y-2*~(x&y)-1*(x|y)
