#complex,groundtruth,sub-expression
1*~(x&~(-6*(a&b)-5*(a&~b)+2*b+5*~(a&~a)-5*~(a|b)-6*~(a|~b)))+2*(-6*(a&b)-5*(a&~b)+2*b+5*~(a&~a)-5*~(a|b)-6*~(a|~b))+11*~(-6*(a&b)-5*(a&~b)+2*b+5*~(a&~a)-5*~(a|b)-6*~(a|~b))-3*(x^(-6*(a&b)-5*(a&~b)+2*b+5*~(a&~a)-5*~(a|b)-6*~(a|~b)))+7*~(x^(-6*(a&b)-5*(a&~b)+2*b+5*~(a&~a)-5*~(a|b)-6*~(a|~b)))-1*~(x&~x)+1*~(x&(-6*(a&b)-5*(a&~b)+2*b+5*~(a&~a)-5*~(a|b)-6*~(a|~b)))-7*x-11*(x|~(-6*(a&b)-5*(a&~b)+2*b+5*~(a&~a)-5*~(a|b)-6*~(a|~b)))+11*~(x|~(-6*(a&b)-5*(a&~b)+2*b+5*~(a&~a)-5*~(a|b)-6*~(a|~b)))+10*(x&~(-6*(a&b)-5*(a&~b)+2*b+5*~(a&~a)-5*~(a|b)-6*~(a|~b)))+9*(x&(-6*(a&b)-5*(a&~b)+2*b+5*~(a&~a)-5*~(a|b)-6*~(a|~b))),11*~x-3*~(x|b),(-6*(a&b)-5*(a&~b)+2*b+5*~(a&~a)-5*~(a|b)-6*~(a|~b))
-5*((-10*(a&b)+1*(a&~b)+11*~(a&~b)-12*~(a|b)-12*~(a|~b)+1*~a)^y)+4*~y-2*((-10*(a&b)+1*(a&~b)+11*~(a&~b)-12*~(a|b)-12*~(a|~b)+1*~a)|y)+2*((-10*(a&b)+1*(a&~b)+11*~(a&~b)-12*~(a|b)-12*~(a|~b)+1*~a)|~y)-7*~((-10*(a&b)+1*(a&~b)+11*~(a&~b)-12*~(a|b)-12*~(a|~b)+1*~a)&~(-10*(a&b)+1*(a&~b)+11*~(a&~b)-12*~(a|b)-12*~(a|~b)+1*~a))+3*~((-10*(a&b)+1*(a&~b)+11*~(a&~b)-12*~(a|b)-12*~(a|~b)+1*~a)&y)-2*y-6*~(-10*(a&b)+1*(a&~b)+11*~(a&~b)-12*~(a|b)-12*~(a|~b)+1*~a)+6*~((-10*(a&b)+1*(a&~b)+11*~(a&~b)-12*~(a|b)-12*~(a|~b)+1*~a)|y)+19*~((-10*(a&b)+1*(a&~b)+11*~(a&~b)-12*~(a|b)-12*~(a|~b)+1*~a)|~y)+5*((-10*(a&b)+1*(a&~b)+11*~(a&~b)-12*~(a|b)-12*~(a|~b)+1*~a)&~y)+11*((-10*(a&b)+1*(a&~b)+11*~(a&~b)-12*~(a|b)-12*~(a|~b)+1*~a)&y),2*~(a^y),(-10*(a&b)+1*(a&~b)+11*~(a&~b)-12*~(a|b)-12*~(a|~b)+1*~a)
1*~(x&~(-1*(a&b)-1*(a&~b)+1*(a|b)+1*~(a^b)-1*~(a|b)))-1*~(x^(-1*(a&b)-1*(a&~b)+1*(a|b)+1*~(a^b)-1*~(a|b)))-7*~(x&~x)+1*~(-1*(a&b)-1*(a&~b)+1*(a|b)+1*~(a^b)-1*~(a|b))-1*(x|~(-1*(a&b)-1*(a&~b)+1*(a|b)+1*~(a^b)-1*~(a|b)))-1*~x-5*(x^(-1*(a&b)-1*(a&~b)+1*(a|b)+1*~(a^b)-1*~(a|b)))-11*(x|(-1*(a&b)-1*(a&~b)+1*(a|b)+1*~(a^b)-1*~(a|b)))+7*x+8*~(x|(-1*(a&b)-1*(a&~b)+1*(a|b)+1*~(a^b)-1*~(a|b)))+30*~(x|~(-1*(a&b)-1*(a&~b)+1*(a|b)+1*~(a^b)-1*~(a|b)))+16*(x&~(-1*(a&b)-1*(a&~b)+1*(a|b)+1*~(a^b)-1*~(a|b))),7*b-19*(x&b),(-1*(a&b)-1*(a&~b)+1*(a|b)+1*~(a^b)-1*~(a|b))
-2*(2*(a&b)+4*(a&~b)-3*~(a&b)-1*~(a&~b)+4*~(a|b)+4*~(a|~b))+1*((2*(a&b)+4*(a&~b)-3*~(a&b)-1*~(a&~b)+4*~(a|b)+4*~(a|~b))^y)-7*((2*(a&b)+4*(a&~b)-3*~(a&b)-1*~(a&~b)+4*~(a|b)+4*~(a|~b))|~y)-3*~((2*(a&b)+4*(a&~b)-3*~(a&b)-1*~(a&~b)+4*~(a|b)+4*~(a|~b))&~(2*(a&b)+4*(a&~b)-3*~(a&b)-1*~(a&~b)+4*~(a|b)+4*~(a|~b)))+5*~((2*(a&b)+4*(a&~b)-3*~(a&b)-1*~(a&~b)+4*~(a|b)+4*~(a|~b))^y)+1*~(2*(a&b)+4*(a&~b)-3*~(a&b)-1*~(a&~b)+4*~(a|b)+4*~(a|~b))-2*y-3*~y-1*((2*(a&b)+4*(a&~b)-3*~(a&b)-1*~(a&~b)+4*~(a|b)+4*~(a|~b))|y)+7*~((2*(a&b)+4*(a&~b)-3*~(a&b)-1*~(a&~b)+4*~(a|b)+4*~(a|~b))|y)+4*~((2*(a&b)+4*(a&~b)-3*~(a&b)-1*~(a&~b)+4*~(a|b)+4*~(a|~b))|~y)+10*((2*(a&b)+4*(a&~b)-3*~(a&b)-1*~(a&~b)+4*~(a|b)+4*~(a|~b))&y),-15*(a&~y),(2*(a&b)+4*(a&~b)-3*~(a&b)-1*~(a&~b)+4*~(a|b)+4*~(a|~b))
-2*~(x&~x)+7*~(x&(8*(a&b)+7*(a&~b)-1*(a|b)-6*~(a&~a)+6*~(a|b)+8*~(a|~b)))+1*(8*(a&b)+7*(a&~b)-1*(a|b)-6*~(a&~a)+6*~(a|b)+8*~(a|~b))-3*(x|~(8*(a&b)+7*(a&~b)-1*(a|b)-6*~(a&~a)+6*~(a|b)+8*~(a|~b)))+3*(x|(8*(a&b)+7*(a&~b)-1*(a|b)-6*~(a&~a)+6*~(a|b)+8*~(a|~b)))+3*(x^(8*(a&b)+7*(a&~b)-1*(a|b)-6*~(a&~a)+6*~(a|b)+8*~(a|~b)))-3*~x-6*x+2*~(x|(8*(a&b)+7*(a&~b)-1*(a|b)-6*~(a&~a)+6*~(a|b)+8*~(a|~b)))-9*~(x|~(8*(a&b)+7*(a&~b)-1*(a|b)-6*~(a&~a)+6*~(a|b)+8*~(a|~b)))-3*(x&~(8*(a&b)+7*(a&~b)-1*(a|b)-6*~(a&~a)+6*~(a|b)+8*~(a|~b)))+9*(x&(8*(a&b)+7*(a&~b)-1*(a|b)-6*~(a&~a)+6*~(a|b)+8*~(a|~b))),2*~(x^b)-1*~b,(8*(a&b)+7*(a&~b)-1*(a|b)-6*~(a&~a)+6*~(a|b)+8*~(a|~b))
1*~((-7*(a&b)+1*(a&~b)+11*b-3*~(a&~b)+3*~(a|b)-8*~(a|~b))^y)-7*~((-7*(a&b)+1*(a&~b)+11*b-3*~(a&~b)+3*~(a|b)-8*~(a|~b))&~(-7*(a&b)+1*(a&~b)+11*b-3*~(a&~b)+3*~(a|b)-8*~(a|~b)))+1*~((-7*(a&b)+1*(a&~b)+11*b-3*~(a&~b)+3*~(a|b)-8*~(a|~b))&y)-11*((-7*(a&b)+1*(a&~b)+11*b-3*~(a&~b)+3*~(a|b)-8*~(a|~b))^y)-6*~(-7*(a&b)+1*(a&~b)+11*b-3*~(a&~b)+3*~(a|b)-8*~(a|~b))+3*~y-1*y-5*(-7*(a&b)+1*(a&~b)+11*b-3*~(a&~b)+3*~(a|b)-8*~(a|~b))+10*~((-7*(a&b)+1*(a&~b)+11*b-3*~(a&~b)+3*~(a|b)-8*~(a|~b))|y)+26*~((-7*(a&b)+1*(a&~b)+11*b-3*~(a&~b)+3*~(a|b)-8*~(a|~b))|~y)+19*((-7*(a&b)+1*(a&~b)+11*b-3*~(a&~b)+3*~(a|b)-8*~(a|~b))&~y)+14*((-7*(a&b)+1*(a&~b)+11*b-3*~(a&~b)+3*~(a|b)-8*~(a|~b))&y),2*~(a&~y),(-7*(a&b)+1*(a&~b)+11*b-3*~(a&~b)+3*~(a|b)-8*~(a|~b))
-2*~(14*(a&b)+13*(a&~b)-6*(a|~b)-7*a+6*~(a|b)+1*~(a|~b))-5*(14*(a&b)+13*(a&~b)-6*(a|~b)-7*a+6*~(a|b)+1*~(a|~b))+4*~(x&(14*(a&b)+13*(a&~b)-6*(a|~b)-7*a+6*~(a|b)+1*~(a|~b)))-1*(x|~(14*(a&b)+13*(a&~b)-6*(a|~b)-7*a+6*~(a|b)+1*~(a|~b)))+1*(x^(14*(a&b)+13*(a&~b)-6*(a|~b)-7*a+6*~(a|b)+1*~(a|~b)))+4*x+5*~(x^(14*(a&b)+13*(a&~b)-6*(a|~b)-7*a+6*~(a|b)+1*~(a|~b)))+5*(x|(14*(a&b)+13*(a&~b)-6*(a|~b)-7*a+6*~(a|b)+1*~(a|~b)))-4*~(x|(14*(a&b)+13*(a&~b)-6*(a|~b)-7*a+6*~(a|b)+1*~(a|~b)))-3*~(x|~(14*(a&b)+13*(a&~b)-6*(a|~b)-7*a+6*~(a|b)+1*~(a|~b)))-12*(x&~(14*(a&b)+13*(a&~b)-6*(a|~b)-7*a+6*~(a|b)+1*~(a|~b)))-9*(x&(14*(a&b)+13*(a&~b)-6*(a|~b)-7*a+6*~(a|b)+1*~(a|~b))),-1*~(x&~x)+3*~x,(14*(a&b)+13*(a&~b)-6*(a|~b)-7*a+6*~(a|b)+1*~(a|~b))
5*y-6*~((2*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&b)-5*~(a|b)-4*~(a|~b))&y)+7*((2*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&b)-5*~(a|b)-4*~(a|~b))|y)-6*~((2*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&b)-5*~(a|b)-4*~(a|~b))&~(2*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&b)-5*~(a|b)-4*~(a|~b)))-5*(2*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&b)-5*~(a|b)-4*~(a|~b))+11*~(2*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&b)-5*~(a|b)-4*~(a|~b))+3*((2*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&b)-5*~(a|b)-4*~(a|~b))^y)+2*~((2*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&b)-5*~(a|b)-4*~(a|~b))&~y)+4*~((2*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&b)-5*~(a|b)-4*~(a|~b))|y)-16*~((2*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&b)-5*~(a|b)-4*~(a|~b))|~y)+7*((2*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&b)-5*~(a|b)-4*~(a|~b))&~y)+2*((2*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&b)-5*~(a|b)-4*~(a|~b))&y),5*~(a^y),(2*(a&b)-3*(a&~b)-1*(a|b)+5*~(a&b)-5*~(a|b)-4*~(a|~b))
-7*~(x^(-2*(a&b)-10*(a&~b)+3*(a|~b)-10*~(a|b)+1*~(a|~b)+7*~b))+1*~x+5*~(x&~(-2*(a&b)-10*(a&~b)+3*(a|~b)-10*~(a|b)+1*~(a|~b)+7*~b))+2*(x|(-2*(a&b)-10*(a&~b)+3*(a|~b)-10*~(a|b)+1*~(a|~b)+7*~b))-3*(-2*(a&b)-10*(a&~b)+3*(a|~b)-10*~(a|b)+1*~(a|~b)+7*~b)+3*~(x&(-2*(a&b)-10*(a&~b)+3*(a|~b)-10*~(a|b)+1*~(a|~b)+7*~b))+3*(x^(-2*(a&b)-10*(a&~b)+3*(a|~b)-10*~(a|b)+1*~(a|~b)+7*~b))-1*~(-2*(a&b)-10*(a&~b)+3*(a|~b)-10*~(a|b)+1*~(a|~b)+7*~b)-12*~(x|(-2*(a&b)-10*(a&~b)+3*(a|~b)-10*~(a|b)+1*~(a|~b)+7*~b))-11*~(x|~(-2*(a&b)-10*(a&~b)+3*(a|~b)-10*~(a|b)+1*~(a|~b)+7*~b))-18*(x&~(-2*(a&b)-10*(a&~b)+3*(a|~b)-10*~(a|b)+1*~(a|~b)+7*~b))-8*(x&(-2*(a&b)-10*(a&~b)+3*(a|~b)-10*~(a|b)+1*~(a|~b)+7*~b)),-11*(x|~b),(-2*(a&b)-10*(a&~b)+3*(a|~b)-10*~(a|b)+1*~(a|~b)+7*~b)
1*~((1*(a&b)+1*~(a&~a)-1*~(a&~b))&y)-6*~((1*(a&b)+1*~(a&~a)-1*~(a&~b))&~(1*(a&b)+1*~(a&~a)-1*~(a&~b)))-7*((1*(a&b)+1*~(a&~a)-1*~(a&~b))|y)-2*~(1*(a&b)+1*~(a&~a)-1*~(a&~b))-1*y-1*~((1*(a&b)+1*~(a&~a)-1*~(a&~b))&~y)-7*((1*(a&b)+1*~(a&~a)-1*~(a&~b))|~y)-1*~y+16*~((1*(a&b)+1*~(a&~a)-1*~(a&~b))|y)+19*~((1*(a&b)+1*~(a&~a)-1*~(a&~b))|~y)+23*((1*(a&b)+1*~(a&~a)-1*~(a&~b))&~y)+22*((1*(a&b)+1*~(a&~a)-1*~(a&~b))&y),3*(a^y),(1*(a&b)+1*~(a&~a)-1*~(a&~b))
1*((-6*(a&b)+7*~(a^b)-1*~(a|b)+7*~(a|~b)-6*~a)^~(~x&(~(-6*(a&b)+7*~(a^b)-1*~(a|b)+7*~(a|~b)-6*~a)|z)))+1*(z^~(x|(~(-6*(a&b)+7*~(a^b)-1*~(a|b)+7*~(a|~b)-6*~a)&z)))-1*(~x&(~(-6*(a&b)+7*~(a^b)-1*~(a|b)+7*~(a|~b)-6*~a)&z))-1*(x&(~(-6*(a&b)+7*~(a^b)-1*~(a|b)+7*~(a|~b)-6*~a)&z)),1*((x^b)|~(x^z)),(-6*(a&b)+7*~(a^b)-1*~(a|b)+7*~(a|~b)-6*~a)
1*(((6*(a&b)+7*(a&~b)-6*~(a&b)-5*~(a^b)+11*~(a|b)+6*~(a|~b))|y)&~(y^z))+1*~((6*(a&b)+7*(a&~b)-6*~(a&b)-5*~(a^b)+11*~(a|b)+6*~(a|~b))|(y|z))-2*~(~(6*(a&b)+7*(a&~b)-6*~(a&b)-5*~(a^b)+11*~(a|b)+6*~(a|~b))|(y|z))-2*((6*(a&b)+7*(a&~b)-6*~(a&b)-5*~(a^b)+11*~(a|b)+6*~(a|~b))&(y&z)),1*(~a&(~y|z))-1*((a|~y)&(a^(y^z))),(6*(a&b)+7*(a&~b)-6*~(a&b)-5*~(a^b)+11*~(a|b)+6*~(a|~b))
1*(~z|~(x^(-10*(a&b)-11*(a&~b)+11*a-1*~(a|b)+1*~a)))-1*(z^~(x&((-10*(a&b)-11*(a&~b)+11*a-1*~(a|b)+1*~a)&z)))+1*~(~x|(~(-10*(a&b)-11*(a&~b)+11*a-1*~(a|b)+1*~a)|z))-1*(~x&(~(-10*(a&b)-11*(a&~b)+11*a-1*~(a|b)+1*~a)&z)),1*(x&b)-1*(x&(b&z)),(-10*(a&b)-11*(a&~b)+11*a-1*~(a|b)+1*~a)
1*((7*(a&b)+4*(a&~b)-3*a-3*~(a^b)+3*~(a|b))^(y&z))+1*~((7*(a&b)+4*(a&~b)-3*a-3*~(a^b)+3*~(a|b))|(y|z))+1*~(~(7*(a&b)+4*(a&~b)-3*a-3*~(a^b)+3*~(a|b))|(y|z))+1*((7*(a&b)+4*(a&~b)-3*a-3*~(a^b)+3*~(a|b))&(~y&z))+2*((7*(a&b)+4*(a&~b)-3*a-3*~(a^b)+3*~(a|b))&(y&z)),1*((a&z)|~(y|z))+1*(a|(y&z)),(7*(a&b)+4*(a&~b)-3*a-3*~(a^b)+3*~(a|b))
-3*~(x|~z)+2*(~(x&~(-2*(a&b)-2*(a&~b)+2*~(a&b)+3*~(a^b)-5*~(a|b)-1*~(a|~b)))&~(x^((-2*(a&b)-2*(a&~b)+2*~(a&b)+3*~(a^b)-5*~(a|b)-1*~(a|~b))^z)))+1*(~(x&~(-2*(a&b)-2*(a&~b)+2*~(a&b)+3*~(a^b)-5*~(a|b)-1*~(a|~b)))&~((-2*(a&b)-2*(a&~b)+2*~(a&b)+3*~(a^b)-5*~(a|b)-1*~(a|~b))^z))+3*(~x&(~(-2*(a&b)-2*(a&~b)+2*~(a&b)+3*~(a^b)-5*~(a|b)-1*~(a|~b))&z))-1*(x&((-2*(a&b)-2*(a&~b)+2*~(a&b)+3*~(a^b)-5*~(a|b)-1*~(a|~b))&z)),2*~(~x|(~b|z))+3*~(x|(b|z)),(-2*(a&b)-2*(a&~b)+2*~(a&b)+3*~(a^b)-5*~(a|b)-1*~(a|~b))
-6*(y^(~(-4*(a&b)+2*(a&~b)-1*(a^b)+5*b-4*~(a|~b))&(y|z)))-1*(~y|((-4*(a&b)+2*(a&~b)-1*(a^b)+5*b-4*~(a|~b))^z))+6*~(~(-4*(a&b)+2*(a&~b)-1*(a^b)+5*b-4*~(a|~b))|(~y|z))+6*(~(-4*(a&b)+2*(a&~b)-1*(a^b)+5*b-4*~(a|~b))&(~y&z))+5*((-4*(a&b)+2*(a&~b)-1*(a^b)+5*b-4*~(a|~b))&(y&z)),-1*(~(a^y)|(a^z))-1*(a&(~y&z)),(-4*(a&b)+2*(a&~b)-1*(a^b)+5*b-4*~(a|~b))
1*((-3*(a&b)-3*(a&~b)+4*(a|~b)-1*~(a&b)-3*~(a|b)+2*~(a|~b))^(~x|(~(-3*(a&b)-3*(a&~b)+4*(a|~b)-1*~(a&b)-3*~(a|b)+2*~(a|~b))&z)))+1*(~(x|~(-3*(a&b)-3*(a&~b)+4*(a|~b)-1*~(a&b)-3*~(a|b)+2*~(a|~b)))|~((-3*(a&b)-3*(a&~b)+4*(a|~b)-1*~(a&b)-3*~(a|b)+2*~(a|~b))^z))-1*~(x|((-3*(a&b)-3*(a&~b)+4*(a|~b)-1*~(a&b)-3*~(a|b)+2*~(a|~b))|z))-1*~(~x|((-3*(a&b)-3*(a&~b)+4*(a|~b)-1*~(a&b)-3*~(a|b)+2*~(a|~b))|z))-1*(~x&(~(-3*(a&b)-3*(a&~b)+4*(a|~b)-1*~(a&b)-3*~(a|b)+2*~(a|~b))&z)),2*(x&(b&z))+1*(~(x|~b)|~(x^(b^z))),(-3*(a&b)-3*(a&~b)+4*(a|~b)-1*~(a&b)-3*~(a|b)+2*~(a|~b))
1*(~y|((4*(a&b)-7*(a&~b)-3*a-11*~(a|b)+11*~b)^z))+4*((4*(a&b)-7*(a&~b)-3*a-11*~(a|b)+11*~b)&(y|z))-1*(~(4*(a&b)-7*(a&~b)-3*a-11*~(a|b)+11*~b)&(~y|z))-5*~(~(4*(a&b)-7*(a&~b)-3*a-11*~(a|b)+11*~b)|(~y|z))-5*((4*(a&b)-7*(a&~b)-3*a-11*~(a|b)+11*~b)&(~y&z)),4*(a&(y&z))+1*~(~a|(y|z)),(4*(a&b)-7*(a&~b)-3*a-11*~(a|b)+11*~b)
-2*~(x&z)+2*~(x&~(-1*(a&b)+2*~(a&~b)+3*~(a|b)+4*~(a|~b)-5*~a))+11*~((-1*(a&b)+2*~(a&~b)+3*~(a|b)+4*~(a|~b)-5*~a)|z)-9*~(~x|((-1*(a&b)+2*~(a&~b)+3*~(a|b)+4*~(a|~b)-5*~a)|z))-2*(x&((-1*(a&b)+2*~(a&~b)+3*~(a|b)+4*~(a|~b)-5*~a)&z)),11*~(x|(b|z)),(-1*(a&b)+2*~(a&~b)+3*~(a|b)+4*~(a|~b)-5*~a)
-2*(y&~((7*(a&b)+1*(a&~b)-6*b-1*~(a|b)+5*~(a|~b)+1*~a)&z))+4*(~((7*(a&b)+1*(a&~b)-6*b-1*~(a|b)+5*~(a|~b)+1*~a)&~y)&~(y^z))+2*~((7*(a&b)+1*(a&~b)-6*b-1*~(a|b)+5*~(a|~b)+1*~a)|(~y|z))+4*~(~(7*(a&b)+1*(a&~b)-6*b-1*~(a|b)+5*~(a|~b)+1*~a)|(~y|z))+2*(~(7*(a&b)+1*(a&~b)-6*b-1*~(a|b)+5*~(a|~b)+1*~a)&(~y&z))-2*((7*(a&b)+1*(a&~b)-6*b-1*~(a|b)+5*~(a|~b)+1*~a)&(y&z)),2*(y^(~a&(y^z)))+4*~(a|(y|z)),(7*(a&b)+1*(a&~b)-6*b-1*~(a|b)+5*~(a|~b)+1*~a)
1*((1*(a&~b)+1*~(a&~b)-1*~b)^~(x|~z))-1*(~x&((1*(a&~b)+1*~(a&~b)-1*~b)^z))+11*((1*(a&~b)+1*~(a&~b)-1*~b)&~(x&~z))-11*~(x|(~(1*(a&~b)+1*~(a&~b)-1*~b)|z))-11*(~x&((1*(a&~b)+1*~(a&~b)-1*~b)&z))-12*(x&((1*(a&~b)+1*~(a&~b)-1*~b)&z)),1*~(~x|(~b|z)),(1*(a&~b)+1*~(a&~b)-1*~b)
-1*(y^(~(3*(a&b)+3*(a&~b)-6*(a|b)+4*~(a&~a)-4*~(a|b)+2*~(a|~b))|(~y&z)))-1*((3*(a&b)+3*(a&~b)-6*(a|b)+4*~(a&~a)-4*~(a|b)+2*~(a|~b))&~y)+1*(((3*(a&b)+3*(a&~b)-6*(a|b)+4*~(a&~a)-4*~(a|b)+2*~(a|~b))&y)|(y^z))+1*~((3*(a&b)+3*(a&~b)-6*(a|b)+4*~(a&~a)-4*~(a|b)+2*~(a|~b))|(y|z))-1*~((3*(a&b)+3*(a&~b)-6*(a|b)+4*~(a&~a)-4*~(a|b)+2*~(a|~b))|(~y|z))+1*((3*(a&b)+3*(a&~b)-6*(a|b)+4*~(a&~a)-4*~(a|b)+2*~(a|~b))&(~y&z)),-1*~(~a|(y|z)),(3*(a&b)+3*(a&~b)-6*(a|b)+4*~(a&~a)-4*~(a|b)+2*~(a|~b))
11*((-1*(a&b)-3*(a&~b)+2*~(a^b)-5*~(a|b)+1*~(a|~b)+3*~b)&(x|z))+3*(x&(~(-1*(a&b)-3*(a&~b)+2*~(a^b)-5*~(a|b)+1*~(a|~b)+3*~b)|z))-12*~(~x|(~(-1*(a&b)-3*(a&~b)+2*~(a^b)-5*~(a|b)+1*~(a|~b)+3*~b)|z))-12*(~x&((-1*(a&b)-3*(a&~b)+2*~(a^b)-5*~(a|b)+1*~(a|~b)+3*~b)&z))-4*(x&(~(-1*(a&b)-3*(a&~b)+2*~(a^b)-5*~(a|b)+1*~(a|~b)+3*~b)&z))-14*(x&((-1*(a&b)-3*(a&~b)+2*~(a^b)-5*~(a|b)+1*~(a|~b)+3*~b)&z)),-1*((x|b)&~(x^(b^z)))+3*~(~x|(b|z)),(-1*(a&b)-3*(a&~b)+2*~(a^b)-5*~(a|b)+1*~(a|~b)+3*~b)
-2*(((8*(a&b)+2*(a&~b)-1*(a|b)-6*~(a&~b)+6*~(a|b)+7*~(a|~b))&~y)|~((8*(a&b)+2*(a&~b)-1*(a|b)-6*~(a&~b)+6*~(a|b)+7*~(a|~b))^(y^z)))+11*((8*(a&b)+2*(a&~b)-1*(a|b)-6*~(a&~b)+6*~(a|b)+7*~(a|~b))^(y&z))+2*~((8*(a&b)+2*(a&~b)-1*(a|b)-6*~(a&~b)+6*~(a|b)+7*~(a|~b))|(y|z))-11*~(~(8*(a&b)+2*(a&~b)-1*(a|b)-6*~(a&~b)+6*~(a|b)+7*~(a|~b))|(y|z))-9*~(~(8*(a&b)+2*(a&~b)-1*(a|b)-6*~(a&~b)+6*~(a|b)+7*~(a|~b))|(~y|z))-11*(~(8*(a&b)+2*(a&~b)-1*(a|b)-6*~(a&~b)+6*~(a|b)+7*~(a|~b))&(y&z)),11*(a&(~y&z))-2*(y^~(~a&(~y|z))),(8*(a&b)+2*(a&~b)-1*(a|b)-6*~(a&~b)+6*~(a|b)+7*~(a|~b))
-5*((x&(-1*(a&b)-9*(a&~b)+7*(a^b)+2*(a|~b)-2*~(a|b)-6*~(a|~b)))^(x^((-1*(a&b)-9*(a&~b)+7*(a^b)+2*(a|~b)-2*~(a|b)-6*~(a|~b))&z)))+1*((-1*(a&b)-9*(a&~b)+7*(a^b)+2*(a|~b)-2*~(a|b)-6*~(a|~b))^(~x|(~(-1*(a&b)-9*(a&~b)+7*(a^b)+2*(a|~b)-2*~(a|b)-6*~(a|~b))|z)))+4*~(~x|((-1*(a&b)-9*(a&~b)+7*(a^b)+2*(a|~b)-2*~(a|b)-6*~(a|~b))|z))+5*(~x&((-1*(a&b)-9*(a&~b)+7*(a^b)+2*(a|~b)-2*~(a|b)-6*~(a|~b))&z))+6*(x&(~(-1*(a&b)-9*(a&~b)+7*(a^b)+2*(a|~b)-2*~(a|b)-6*~(a|~b))&z))+6*(x&((-1*(a&b)-9*(a&~b)+7*(a^b)+2*(a|~b)-2*~(a|b)-6*~(a|~b))&z)),1*(b^(~x|(b^z)))+1*(x&(b^z)),(-1*(a&b)-9*(a&~b)+7*(a^b)+2*(a|~b)-2*~(a|b)-6*~(a|~b))
-1*(((1*(a&b)+1*~(a&b)-3*~(a|b)-3*~(a|~b)+2*~a)|~y)&~(y^z))-2*(y|z)+1*(~z|((1*(a&b)+1*~(a&b)-3*~(a|b)-3*~(a|~b)+2*~a)^y))+1*(y|~((1*(a&b)+1*~(a&b)-3*~(a|b)-3*~(a|~b)+2*~a)^z))-1*~((1*(a&b)+1*~(a&b)-3*~(a|b)-3*~(a|~b)+2*~a)|(y|z))+2*(~(1*(a&b)+1*~(a&b)-3*~(a|b)-3*~(a|~b)+2*~a)&(~y&z)),-2*(a&(y&z)),(1*(a&b)+1*~(a&b)-3*~(a|b)-3*~(a|~b)+2*~a)
-2*(x&((6*(a&b)+10*(a&~b)-5*(a|b)-5*~(a&b)+5*~(a|b)+11*~(a|~b))|z))-1*((6*(a&b)+10*(a&~b)-5*(a|b)-5*~(a&b)+5*~(a|b)+11*~(a|~b))^(x|z))-3*~(x|((6*(a&b)+10*(a&~b)-5*(a|b)-5*~(a&b)+5*~(a|b)+11*~(a|~b))|z))-2*~(~x|((6*(a&b)+10*(a&~b)-5*(a|b)-5*~(a&b)+5*~(a|b)+11*~(a|~b))|z))+2*(x&(~(6*(a&b)+10*(a&~b)-5*(a|b)-5*~(a&b)+5*~(a|b)+11*~(a|~b))&z))+2*(x&((6*(a&b)+10*(a&~b)-5*(a|b)-5*~(a&b)+5*~(a|b)+11*~(a|~b))&z)),-2*(z^(x|(~b|z)))-1*(b^(x|(~b|z))),(6*(a&b)+10*(a&~b)-5*(a|b)-5*~(a&b)+5*~(a|b)+11*~(a|~b))
1*~((7*(a&~b)+1*~(a&~a)+6*~(a|b)-1*~(a|~b)-7*~b)^(y&z))-11*(y&~((7*(a&~b)+1*~(a&~a)+6*~(a|b)-1*~(a|~b)-7*~b)^z))+5*(((7*(a&~b)+1*~(a&~a)+6*~(a|b)-1*~(a|~b)-7*~b)|~y)&~(y^z))-6*~((7*(a&~b)+1*~(a&~a)+6*~(a|b)-1*~(a|~b)-7*~b)|(y|z))-1*(~(7*(a&~b)+1*~(a&~a)+6*~(a|b)-1*~(a|~b)-7*~b)&(~y&z))+5*((7*(a&~b)+1*~(a&~a)+6*~(a|b)-1*~(a|~b)-7*~b)&(y&z)),-10*~(a|(~y|z))+5*~(~a|(y|z)),(7*(a&~b)+1*~(a&~a)+6*~(a|b)-1*~(a|~b)-7*~b)
